NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vit_B6_(mg),Vit_B12_(mcg),Vit_A_IU,Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_D_IU,Vit_K_(mcg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
01164,CHEESE SAU PREP FROM RECIPE,66.86,197,10.33,14.92,2.41,5.48,0.1,0.19,311,0.35,19,229,142,493,1.26,0.019,0.04,6.6,0.6,0.044,0.243,0.204,0.045,0.35,310,82,0.09,1,41,0.9,8.034,4.735,1.397,38
01165,CHEESE MEXICAN QUESO ANEJO,38.06,373,21.44,29.98,5.89,4.63,0,4.63,680,0.47,28,444,87,1131,2.94,0.008,0.037,14.5,0,0.02,0.209,0.032,0.047,1.38,220,64,0.26,0.5,22,2.5,19.033,8.528,0.901,105
01166,CHEESE MEXICAN QUESO ASADERO,42.16,356,22.6,28.26,4.11,2.87,0,2.87,661,0.51,26,443,86,705,3.02,0.026,0.036,14.5,0,0.021,0.223,0.181,0.053,1,190,55,0.24,0.5,21,2.4,17.939,8.038,0.85,105
01167,CHEESE MEXICAN QUESO CHIHUAHUA,39.13,374,21.56,29.68,4.06,5.56,0,5.56,651,0.47,23,442,52,617,3.5,0.024,0.071,14.5,0,0.018,0.225,0.15,0.055,1.03,193,56,0.26,0.5,22,2.5,18.843,8.443,0.892,105
01168,CHEESE LOFAT CHEDDAR OR COLBY,63.1,173,24.35,7,3.64,1.91,0,0.52,415,0.42,16,484,66,873,1.82,0.021,0.006,14.5,0,0.012,0.221,0.051,0.045,0.49,207,60,0.06,0.1,5,0.6,4.342,2.082,0.222,21
01169,CHEESE LOW-SODIUM CHEDDAR OR COLBY,38.98,398,24.35,32.62,2.13,1.91,0,0.49,703,0.72,27,484,112,21,3.09,0.036,0.011,14.5,0,0.021,0.375,0.086,0.076,0.83,996,264,0.28,0.6,24,2.7,20.768,9.189,0.972,100
01171,EGG WHL RAW FRZ PAST,75.2,154,12.03,10.7,0.8,1.27,0,0.1,63,1.69,9,193,135,130,1.32,0.025,0.032,37.2,0,0.067,0.523,0.103,0.197,1.16,488,146,0.72,2,82,0.3,3.348,4.223,1.71,372
01172,EGG WHITE RAW FRZ PAST,88.97,46,9.3,0.04,0.43,1.26,0,0.2,10,0.17,11,13,169,169,0.07,0.032,0.007,9.2,0,0.023,0.423,0.093,0.004,0.9,0,0,0,0,0,0,0.008,0.009,0.004,0
01173,EGG WHITE DRIED,5.8,382,81.1,0,5.3,7.8,0,5.4,62,0.15,88,111,1125,1280,0.1,0.114,0.007,125.1,0,0.005,2.53,0.865,0.036,0.18,0,0,0,0,0,0,0,0,0,0
01174,MILK RED FAT FLUID 2% MILKFAT WO/ ADDED VIT A & VIT D,89.21,50,3.3,1.98,0.71,4.8,0,5.06,120,0.02,11,92,140,47,0.48,0.006,0.014,2.5,0.2,0.039,0.185,0.092,0.038,0.53,102,28,0.03,0,1,0.2,1.257,0.56,0.073,8
01175,MILK FLUID 1% FAT WO/ ADDED VIT A & VIT D,89.92,42,3.37,0.97,0.75,4.99,0,5.2,125,0.03,11,95,150,44,0.42,0.01,0.003,3.3,0,0.02,0.185,0.093,0.037,0.47,47,14,0.01,0,1,0.1,0.633,0.277,0.035,5
01178,SOUR CREAM REDUCED FAT,71,181,7,14.1,0.9,7,0,0.3,141,0.06,11,85,211,70,0.27,0.01,,4.1,0.9,0.04,0.24,0.07,0.02,0.3,436,119,0.4,0.3,10,0.7,8.7,4.1,0.5,35
01179,SOUR CREAM LIGHT,78.1,136,3.5,10.6,0.7,7.1,0,0.22,141,0.07,10,71,212,83,0.5,0.016,,3.1,0.9,0.04,0.12,0.07,0.02,0.42,328,90,0.3,0.2,8,0.5,6.6,3.1,0.4,35
01180,SOUR CREAM FAT FREE,80.6,74,3.1,0,0.7,15.6,0,0.39,125,0,10,95,129,141,0.5,0.016,,5.3,0,0.04,0.15,0.07,0.02,0.3,255,73,0,0,0,0,0,0,0,9
01182,USDA COMMODITY CHS CHEDDAR RED FAT,48.2,282,27.2,18.3,4.3,2,0,0.58,905,0.13,35,583,93,725,4.3,0.021,,15.5,0,0.03,0.3,0.06,0.084,1.66,633,150,0.16,0.3,13,1.5,11.58,5.02,0.75,56
